hierarchy;id_category;prazo
26880 - Alimentos e Bebidas/Laticínios e Ovos/Outros;26880;7 - 30
22785 - Celulares e Acessórios/Celulares/Wiko;22785;7 - 30
22786 - Celulares e Acessórios/Celulares/Xiaomi;22786;7 - 30
22787 - Celulares e Acessórios/Celulares/ZTE;22787;7 - 30
26884 - Alimentos e Bebidas/Conjunto de Presentes e Cestas/Conjunto de Presentes e Cestas;26884;7 - 30
26885 - Alimentos e Bebidas/Snacks/Doces e Guloseimas;26885;7 - 30
26886 - Alimentos e Bebidas/Snacks/Chocolates;26886;7 - 30
26887 - Alimentos e Bebidas/Snacks/Biscoitos, Bolachas e Wafers;26887;7 - 30
26888 - Alimentos e Bebidas/Snacks/Batatas Fritas e Salgadinhos;26888;7 - 30
26889 - Alimentos e Bebidas/Snacks/Grãos e Sementes;26889;7 - 30
26890 - Alimentos e Bebidas/Snacks/Pipoca;26890;7 - 30
26891 - Alimentos e Bebidas/Snacks/Nozes;26891;7 - 30
26892 - Alimentos e Bebidas/Snacks/Petiscos Secos;26892;7 - 30
26893 - Alimentos e Bebidas/Snacks/Pudim, Geléias e Marshmallow;26893;7 - 30
26894 - Alimentos e Bebidas/Alimentos Básicos/Produtos Secos;26894;7 - 30
26895 - Alimentos e Bebidas/Alimentos Básicos/Macarrão;26895;7 - 30
26896 - Alimentos e Bebidas/Alimentos Básicos/Arroz;26896;7 - 30
26897 - Alimentos e Bebidas/Alimentos Básicos/Massa;26897;7 - 30
22802 - Celulares e Acessórios/Suporte para Celular/Suporte para Celular;22802;7 - 30
26899 - Alimentos e Bebidas/Alimentos Básicos/Comida Enlatada;26899;7 - 30
22804 - Celulares e Acessórios/Carregadores Portáteis e Baterias/Outros;22804;7 - 30
26901 - Alimentos e Bebidas/Ingredientes para Cozinhar/Temperos e Condimentos;26901;7 - 30
26902 - Alimentos e Bebidas/Ingredientes para Cozinhar/Açúcar;26902;7 - 30
22807 - Celulares e Acessórios/Carregadores Portáteis e Baterias/Baterias de Celulares;22807;7 - 30
26904 - Alimentos e Bebidas/Ingredientes para Cozinhar/Caldos, Molhos e Sopas Instantâneas Soup;26904;7 - 30
26905 - Alimentos e Bebidas/Ingredientes para Cozinhar/Kits para Cozinhar;26905;7 - 30
26906 - Alimentos e Bebidas/Ingredientes para Cozinhar/Saborizadores;26906;7 - 30
22811 - Celulares e Acessórios/Carregadores Portáteis e Baterias/Carregador Portátil;22811;7 - 30
26908 - Alimentos e Bebidas/Necessidades para Cozimento/Saborizadores;26908;7 - 30
