hierarchy;id_category;prazo
100263 - Men Shoes/Sandals & Flip Flops/Others;100263;7 - 30
100264 - Men Shoes/Shoe Care & Accessories/Shoe Care & Cleaning Tools;100264;7 - 30
100265 - Men Shoes/Shoe Care & Accessories/Shoe Deodorizers;100265;7 - 30
100266 - Men Shoes/Shoe Care & Accessories/Shoe Laces;100266;7 - 30
100267 - Men Shoes/Shoe Care & Accessories/Shoe Horns & Trees;100267;7 - 30
100268 - Men Shoes/Shoe Care & Accessories/Shoe Insoles;100268;7 - 30
100269 - Men Shoes/Shoe Care & Accessories/Others;100269;7 - 30
100270 - Mobile & Gadgets/Wearable Devices/Smartwatches & Fitness Trackers;100270;7 - 30
100271 - Mobile & Gadgets/Wearable Devices/VR Devices;100271;7 - 30
100272 - Mobile & Gadgets/Wearable Devices/GPS Trackers;100272;7 - 30
100273 - Mobile & Gadgets/Wearable Devices/Others;100273;7 - 30
100275 - Mobile & Gadgets/Accessories/Mobile Lens;100275;7 - 30
100276 - Mobile & Gadgets/Accessories/Mobile Flashes & Selfie Lights;100276;7 - 30
100277 - Mobile & Gadgets/Accessories/USB & Mobile Fans;100277;7 - 30
100278 - Mobile & Gadgets/Accessories/Stylus;100278;7 - 30
100279 - Mobile & Gadgets/Accessories/Phone Grips;100279;7 - 30
100280 - Mobile & Gadgets/Accessories/Phone Straps & Keychains;100280;7 - 30
100281 - Mobile & Gadgets/Accessories/Memory Cards;100281;7 - 30
100282 - Mobile & Gadgets/Accessories/Casting Devices;100282;7 - 30
100283 - Mobile & Gadgets/Accessories/Mobile Pouches;100283;7 - 30
100285 - Mobile & Gadgets/Accessories/USB & Mobile Lights;100285;7 - 30
100286 - Mobile & Gadgets/Accessories/Pocket Wifi;100286;7 - 30
100288 - Mobile & Gadgets/Accessories/Wearable Accessories;100288;7 - 30
100289 - Mobile & Gadgets/Accessories/Screen Protectors;100289;7 - 30
100291 - Mobile & Gadgets/Accessories/Others;100291;7 - 30
100320 - Travel & Luggage/Travel Bags/Duffel & Weekender Bags;100320;7 - 30
100321 - Travel & Luggage/Travel Bags/Foldable Bags;100321;7 - 30
100322 - Travel & Luggage/Travel Bags/Drawstring Bags;100322;7 - 30
100323 - Travel & Luggage/Travel Bags/Others;100323;7 - 30
100324 - Travel & Luggage/Travel Accessories/Passport Holders & Covers;100324;7 - 30
100325 - Travel & Luggage/Travel Accessories/Travel Organizers;100325;7 - 30
100326 - Travel & Luggage/Travel Accessories/Luggage Protectors & Covers;100326;7 - 30
100327 - Travel & Luggage/Travel Accessories/Luggage Tags;100327;7 - 30
100328 - Travel & Luggage/Travel Accessories/Luggage Straps;100328;7 - 30
100329 - Travel & Luggage/Travel Accessories/Luggage Locks;100329;7 - 30
100330 - Travel & Luggage/Travel Accessories/Luggage Scales;100330;7 - 30
100331 - Travel & Luggage/Travel Accessories/Travel Pillows & Eye Covers;100331;7 - 30
100332 - Travel & Luggage/Travel Accessories/Travel Size Bottles & Containers;100332;7 - 30
100333 - Travel & Luggage/Travel Accessories/Others;100333;7 - 30
100334 - Women Bags/Lapt-BRop Bags/Lapt-BRop Bags & Cases;100334;7 - 30
100335 - Women Bags/Lapt-BRop Bags/Lapt-BRop Sleeves;100335;7 - 30
100336 - Women Bags/Lapt-BRop Bags/Lapt-BRop Backpacks;100336;7 - 30
100337 - Women Bags/Lapt-BRop Bags/Others;100337;7 - 30
100338 - Women Bags/Wallets/Card Holders;100338;7 - 30
100339 - Women Bags/Wallets/Coin Holders & Purses;100339;7 - 30
100340 - Women Bags/Wallets/Phone & Key Wallets;100340;7 - 30
100341 - Women Bags/Wallets/Bifold & Trifold Wallets;100341;7 - 30
100342 - Women Bags/Wallets/Long Wallets;100342;7 - 30
100343 - Women Bags/Wallets/Others;100343;7 - 30
100344 - Women Bags/Bag Accessories/Bag Straps;100344;7 - 30
100345 - Women Bags/Bag Accessories/Bag Holders;100345;7 - 30
100346 - Women Bags/Bag Accessories/Charms & Twillies;100346;7 - 30
100347 - Women Bags/Bag Accessories/Bag Organizers;100347;7 - 30
100348 - Women Bags/Bag Accessories/Cleaning & Care Equipment;100348;7 - 30
100349 - Women Bags/Bag Accessories/Others;100349;7 - 30
100350 - Women Clothes/Tops/Tanks & Camisoles;100350;7 - 30
100351 - Women Clothes/Tops/Tube Tops;100351;7 - 30
100352 - Women Clothes/Tops/T-shirts;100352;7 - 30
100353 - Women Clothes/Tops/Shirts & Blouses;100353;7 - 30
100354 - Women Clothes/Tops/Polo Shirts;100354;7 - 30
100355 - Women Clothes/Tops/Bodysuits;100355;7 - 30
100356 - Women Clothes/Tops/Others;100356;7 - 30
100357 - Women Clothes/Pants & Leggings/Leggings & Treggings;100357;7 - 30
100358 - Women Clothes/Pants & Leggings/Pants;100358;7 - 30
100359 - Women Clothes/Pants & Leggings/Others;100359;7 - 30
100360 - Women Clothes/Shorts/Shorts;100360;7 - 30
100361 - Women Clothes/Shorts/Skorts;100361;7 - 30
100362 - Women Clothes/Shorts/Others;100362;7 - 30
100363 - Women Clothes/Jumpsuits, Playsuits & Overalls/Jumpsuits;100363;7 - 30
100364 - Women Clothes/Jumpsuits, Playsuits & Overalls/Playsuits;100364;7 - 30
100365 - Women Clothes/Jumpsuits, Playsuits & Overalls/Overalls;100365;7 - 30
100366 - Women Clothes/Jumpsuits, Playsuits & Overalls/Others;100366;7 - 30
100367 - Women Clothes/Jackets, Coats & Vests/Winter Jackets & Coats;100367;7 - 30
100368 - Women Clothes/Jackets, Coats & Vests/Capes;100368;7 - 30
100369 - Women Clothes/Jackets, Coats & Vests/Blazers;100369;7 - 30
100370 - Women Clothes/Jackets, Coats & Vests/Jackets;100370;7 - 30
100371 - Women Clothes/Jackets, Coats & Vests/Vests;100371;7 - 30
100372 - Women Clothes/Jackets, Coats & Vests/Others;100372;7 - 30
100373 - Women Clothes/Hoodies & Sweatshirts/Sweatshirts;100373;7 - 30
100374 - Women Clothes/Hoodies & Sweatshirts/Hoodies;100374;7 - 30
100375 - Women Clothes/Hoodies & Sweatshirts/Others;100375;7 - 30
100376 - Women Clothes/Sets/Couple Sets;100376;7 - 30
100377 - Women Clothes/Sets/Family Sets;100377;7 - 30
100378 - Women Clothes/Sets/Individual Sets;100378;7 - 30
100379 - Women Clothes/Sets/Others;100379;7 - 30
100380 - Women Clothes/Lingerie & Underwear/Sets;100380;7 - 30
100381 - Women Clothes/Lingerie & Underwear/Bras;100381;7 - 30
100382 - Women Clothes/Lingerie & Underwear/Panties;100382;7 - 30
100383 - Women Clothes/Lingerie & Underwear/Thermal Innerwear;100383;7 - 30
100385 - Women Clothes/Lingerie & Underwear/Shapewear;100385;7 - 30
100386 - Women Clothes/Lingerie & Underwear/Safety Pants;100386;7 - 30
100387 - Women Clothes/Lingerie & Underwear/Sexy Lingerie;100387;7 - 30
100388 - Women Clothes/Lingerie & Underwear/Others;100388;7 - 30
100389 - Women Clothes/Sleepwear & Pajamas/Pajamas;100389;7 - 30
100390 - Women Clothes/Sleepwear & Pajamas/Night Dresses;100390;7 - 30
100391 - Women Clothes/Sleepwear & Pajamas/Kimonos & Robes;100391;7 - 30
100392 - Women Clothes/Sleepwear & Pajamas/Others;100392;7 - 30
100393 - Women Clothes/Maternity Wear/Nursing Bras;100393;7 - 30
100394 - Women Clothes/Maternity Wear/Maternity Dresses;100394;7 - 30
100395 - Women Clothes/Maternity Wear/Maternity Tops;100395;7 - 30
100396 - Women Clothes/Maternity Wear/Breastfeeding Wear;100396;7 - 30
100397 - Women Clothes/Maternity Wear/Maternity Sets;100397;7 - 30
100398 - Women Clothes/Maternity Wear/Maternity Bottoms;100398;7 - 30
100399 - Women Clothes/Maternity Wear/Others;100399;7 - 30
100400 - Women Clothes/Traditional Wear/Tops;100400;7 - 30
100401 - Women Clothes/Traditional Wear/Bottoms;100401;7 - 30
100402 - Women Clothes/Traditional Wear/Sets;100402;7 - 30
100403 - Women Clothes/Traditional Wear/Dresses;100403;7 - 30
100404 - Women Clothes/Traditional Wear/Others;100404;7 - 30
100407 - Women Clothes/Fabric/Cotton;100407;7 - 30
100408 - Women Clothes/Fabric/Wool;100408;7 - 30
100409 - Women Clothes/Fabric/Velvet, Silk & Satin;100409;7 - 30
100410 - Women Clothes/Fabric/Leather;100410;7 - 30
100411 - Women Clothes/Fabric/Vinyl & Nylon;100411;7 - 30
100412 - Women Clothes/Fabric/Denim;100412;7 - 30
100413 - Women Clothes/Fabric/Canvas;100413;7 - 30
100416 - Women Clothes/Fabric/Others;100416;7 - 30
100417 - Women Clothes/Socks & Stockings/Socks;100417;7 - 30
100418 - Women Clothes/Socks & Stockings/Pantyhose;100418;7 - 30
100419 - Women Clothes/Socks & Stockings/Others;100419;7 - 30
100585 - Women Shoes/Boots/Rain Boots;100585;7 - 30
100586 - Women Shoes/Boots/Fashion Boots;100586;7 - 30
100587 - Women Shoes/Boots/Others;100587;7 - 30
100588 - Women Shoes/Flats/Ballet Flats;100588;7 - 30
100589 - Women Shoes/Flats/Loafers & Boat Shoes;100589;7 - 30
100590 - Women Shoes/Flats/Oxfords & Lace-Ups;100590;7 - 30
100591 - Women Shoes/Flats/Slip Ons, Mary Janes & Mules;100591;7 - 30
100592 - Women Shoes/Flats/Others;100592;7 - 30
100593 - Women Shoes/Flat Sandals & Flip Flops/Flat Sandals;100593;7 - 30
100594 - Women Shoes/Flat Sandals & Flip Flops/Flip Flops;100594;7 - 30
100595 - Women Shoes/Flat Sandals & Flip Flops/Health Slippers;100595;7 - 30
100596 - Women Shoes/Flat Sandals & Flip Flops/Indoor Slippers;100596;7 - 30
100597 - Women Shoes/Flat Sandals & Flip Flops/Others;100597;7 - 30
100598 - Women Shoes/Shoe Care & Accessories/Shoe Deodorizers;100598;7 - 30
100599 - Women Shoes/Shoe Care & Accessories/Insoles & Heel Liners;100599;7 - 30
100600 - Women Shoes/Shoe Care & Accessories/Shoe Horns & Trees;100600;7 - 30
100601 - Women Shoes/Shoe Care & Accessories/Shoe Care & Cleaning Tools;100601;7 - 30
100602 - Women Shoes/Shoe Care & Accessories/Shoe Laces;100602;7 - 30
100603 - Women Shoes/Shoe Care & Accessories/Others;100603;7 - 30
100604 - Men Bags/Lapt-BRop Bags/Lapt-BRop Bags & Cases;100604;7 - 30
100605 - Men Bags/Lapt-BRop Bags/Lapt-BRop Sleeves;100605;7 - 30
100606 - Men Bags/Lapt-BRop Bags/Lapt-BRop Backpacks;100606;7 - 30
100607 - Men Bags/Lapt-BRop Bags/Others;100607;7 - 30
100608 - Men Bags/Wallets/Card Holders;100608;7 - 30
100609 - Men Bags/Wallets/Coin Holders & Purses;100609;7 - 30
100610 - Men Bags/Wallets/Phone & Key Wallets;100610;7 - 30
100611 - Men Bags/Wallets/Bifold & Trifold Wallets;100611;7 - 30
100612 - Men Bags/Wallets/Long Wallets;100612;7 - 30
100613 - Men Bags/Wallets/Others;100613;7 - 30
100614 - Watches/Watches Accessories/Straps;100614;7 - 30
100615 - Watches/Watches Accessories/Service Tools;100615;7 - 30
100616 - Watches/Watches Accessories/Buckles;100616;7 - 30
100617 - Watches/Watches Accessories/Batteries;100617;7 - 30
100618 - Watches/Watches Accessories/Boxes;100618;7 - 30
100619 - Watches/Watches Accessories/Others;100619;7 - 30
100620 - Audio/Media Players/MP3 & MP4 Players;100620;7 - 30
100621 - Audio/Media Players/CD, DVD, & Blu-ray Players;100621;7 - 30
100622 - Audio/Media Players/Voice Recorders;100622;7 - 30
100623 - Audio/Media Players/Radio & Cassette Players;100623;7 - 30
100624 - Audio/Media Players/Others;100624;7 - 30
100625 - Audio/Home Audio & Speakers/Speakers;100625;7 - 30
100626 - Audio/Home Audio & Speakers/Home Theater Systems;100626;7 - 30
100627 - Audio/Home Audio & Speakers/AV Receivers;100627;7 - 30
100628 - Audio/Home Audio & Speakers/Others;100628;7 - 30
100781 - Food & Beverage/Convenience / Ready-to-eat/Others;100781;7 - 30
100783 - Food & Beverage/Convenience / Ready-to-eat/Instant Hotpot;100783;7 - 30
100784 - Food & Beverage/Convenience / Ready-to-eat/Instant Noodles;100784;7 - 30
100785 - Food & Beverage/Snacks/Sweets & Candy;100785;7 - 30
100786 - Food & Beverage/Snacks/Chocolate;100786;7 - 30
100787 - Food & Beverage/Snacks/Biscuits, Cookies & Wafers;100787;7 - 30
100788 - Food & Beverage/Snacks/Chips & Crisps;100788;7 - 30
100789 - Food & Beverage/Snacks/Seeds;100789;7 - 30
100790 - Food & Beverage/Snacks/Popcorn;100790;7 - 30
100792 - Food & Beverage/Snacks/Nuts;100792;7 - 30
100793 - Food & Beverage/Snacks/Others;100793;7 - 30
100797 - Food & Beverage/Food Staples/Noodles;100797;7 - 30
